journal_id	publisher	issn	eissn	jif	category	edition	quartile	source_level	source_name	source_url	retrieved_on	source_artifact_sha256
nature-biomedical-engineering	NATURE PORTFOLIO	2157-846X	2157-846X	26.3	ENGINEERING, BIOMEDICAL	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
nature-communications	NATURE PORTFOLIO	N/A	2041-1723	18.1	MULTIDISCIPLINARY SCIENCES	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
communications-biology	NATURE PORTFOLIO		2399-3642	5.8	BIOLOGY	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/communications-biology	2026-08-03	N/A
nature-structural-molecular-biology	NATURE PORTFOLIO	1545-9993	1545-9985	10.1	BIOCHEMISTRY & MOLECULAR BIOLOGY	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/nature-structural-and-molecular-biology	2026-08-03	N/A
nature-structural-molecular-biology	NATURE PORTFOLIO	1545-9993	1545-9985	10.1	BIOPHYSICS	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/nature-structural-and-molecular-biology	2026-08-03	N/A
nature-structural-molecular-biology	NATURE PORTFOLIO	1545-9993	1545-9985	10.1	CELL BIOLOGY	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/nature-structural-and-molecular-biology	2026-08-03	N/A
scientific-data	NATURE PORTFOLIO		2052-4463	7.2	MULTIDISCIPLINARY SCIENCES	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/scientific-data	2026-08-03	N/A
science	AMER ASSOC ADVANCEMENT SCIENCE	0036-8075	1095-9203	47.3	MULTIDISCIPLINARY SCIENCES	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
science-translational-medicine	AMER ASSOC ADVANCEMENT SCIENCE	1946-6234	1946-6242	15.6	CELL BIOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
science-translational-medicine	AMER ASSOC ADVANCEMENT SCIENCE	1946-6234	1946-6242	15.6	MEDICINE, RESEARCH & EXPERIMENTAL	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
science-immunology	AMER ASSOC ADVANCEMENT SCIENCE	2470-9468	2470-9468	16.4	IMMUNOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
science-signaling	AMER ASSOC ADVANCEMENT SCIENCE	1945-0877	1937-9145	7.0	BIOCHEMISTRY & MOLECULAR BIOLOGY	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/science-signaling	2026-08-03	N/A
science-signaling	AMER ASSOC ADVANCEMENT SCIENCE	1945-0877	1937-9145	7.0	CELL BIOLOGY	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/science-signaling	2026-08-03	N/A
science-advances	AMER ASSOC ADVANCEMENT SCIENCE	N/A	2375-2548	13.9	MULTIDISCIPLINARY SCIENCES	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
cell	CELL PRESS	0092-8674	1097-4172	45.1	BIOCHEMISTRY & MOLECULAR BIOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
cell	CELL PRESS	0092-8674	1097-4172	45.1	CELL BIOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
cell-stem-cell	CELL PRESS	1934-5909	1875-9777	23.3	CELL & TISSUE ENGINEERING	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
cell-stem-cell	CELL PRESS	1934-5909	1875-9777	23.3	CELL BIOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
cancer-cell	CELL PRESS	1535-6108	1878-3686	56.1	CELL BIOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
cancer-cell	CELL PRESS	1535-6108	1878-3686	56.1	ONCOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
immunity	CELL PRESS	1074-7613	1097-4180	30.6	IMMUNOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
neuron	CELL PRESS	0896-6273	1097-4199	16.9	NEUROSCIENCES	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
molecular-cell	CELL PRESS	1097-2765	1097-4164	16.0	BIOCHEMISTRY & MOLECULAR BIOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
molecular-cell	CELL PRESS	1097-2765	1097-4164	16.0	CELL BIOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
cell-metabolism	CELL PRESS	1550-4131	1932-7420	37.0	CELL BIOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
cell-metabolism	CELL PRESS	1550-4131	1932-7420	37.0	ENDOCRINOLOGY & METABOLISM	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
cell-host-microbe	CELL PRESS	1931-3128	1934-6069	23.2	MICROBIOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
cell-host-microbe	CELL PRESS	1931-3128	1934-6069	23.2	PARASITOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
cell-host-microbe	CELL PRESS	1931-3128	1934-6069	23.2	VIROLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
developmental-cell	CELL PRESS	1534-5807	1878-1551	9.2	CELL BIOLOGY	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/developmental-cell	2026-08-03	N/A
developmental-cell	CELL PRESS	1534-5807	1878-1551	9.2	DEVELOPMENTAL BIOLOGY	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/developmental-cell	2026-08-03	N/A
cell-reports-medicine	CELL PRESS	2666-3791	2666-3791	14.0	CELL BIOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
cell-reports-medicine	CELL PRESS	2666-3791	2666-3791	14.0	MEDICINE, RESEARCH & EXPERIMENTAL	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
current-biology	CELL PRESS	0960-9822	1879-0445	7.7	BIOCHEMISTRY & MOLECULAR BIOLOGY	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/current-biology	2026-08-03	N/A
current-biology	CELL PRESS	0960-9822	1879-0445	7.7	BIOLOGY	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/current-biology	2026-08-03	N/A
current-biology	CELL PRESS	0960-9822	1879-0445	7.7	CELL BIOLOGY	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/current-biology	2026-08-03	N/A
the-lancet	ELSEVIER SCIENCE INC	0140-6736	1474-547X	109.0	MEDICINE, GENERAL & INTERNAL	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
lancet-oncology	ELSEVIER SCIENCE INC	1470-2045	1474-5488	33.7	ONCOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
lancet-neurology	ELSEVIER SCIENCE INC	1474-4422	1474-4465	54.6	CLINICAL NEUROLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
lancet-infectious-diseases	ELSEVIER SCI LTD	1473-3099	1474-4457	29.4	INFECTIOUS DISEASES	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
lancet-digital-health	ELSEVIER	N/A	2589-7500	25.5	MEDICAL INFORMATICS	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
lancet-digital-health	ELSEVIER	N/A	2589-7500	25.5	MEDICINE, GENERAL & INTERNAL	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
lancet-haematology	ELSEVIER SCI LTD	2352-3026	N/A	20.4	HEMATOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
lancet-respiratory-medicine	ELSEVIER SCI LTD	2213-2600	N/A	34.7	CRITICAL CARE MEDICINE	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
lancet-respiratory-medicine	ELSEVIER SCI LTD	2213-2600	N/A	34.7	RESPIRATORY SYSTEM	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
lancet-gastroenterology-hepatology	ELSEVIER INC	N/A	2468-1253	39.1	GASTROENTEROLOGY & HEPATOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
nejm	MASSACHUSETTS MEDICAL SOC	0028-4793	1533-4406	84.5	MEDICINE, GENERAL & INTERNAL	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
jama	AMER MEDICAL ASSOC	0098-7484	1538-3598	65.4	MEDICINE, GENERAL & INTERNAL	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
bmj	BMJ PUBLISHING GROUP	0959-535X	1756-1833	55.1	MEDICINE, GENERAL & INTERNAL	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
pnas	NATL ACAD SCIENCES	0027-8424	1091-6490	9.5	MULTIDISCIPLINARY SCIENCES	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/proceedings-of-the-national-academy-of-sciences-of-the-united-states-of-america	2026-08-03	N/A
elife	ELIFE SCIENCES PUBL LTD		2050-084X	N/A	BIOLOGY	ESCI	Not ranked	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/elife	2026-08-03	N/A
embo-journal	SPRINGER NATURE	0261-4189	1460-2075	8.4	BIOCHEMISTRY & MOLECULAR BIOLOGY	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/embo-journal	2026-08-03	N/A
embo-journal	SPRINGER NATURE	0261-4189	1460-2075	8.4	CELL BIOLOGY	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/embo-journal	2026-08-03	N/A
molecular-systems-biology	SPRINGER NATURE	1744-4292	1744-4292	6.7	BIOCHEMISTRY & MOLECULAR BIOLOGY	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/molecular-systems-biology	2026-08-03	N/A
genome-biology	BMC		1474-760X	9.2	BIOTECHNOLOGY & APPLIED MICROBIOLOGY	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/genome-biology	2026-08-03	N/A
genome-biology	BMC		1474-760X	9.2	GENETICS & HEREDITY	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/genome-biology	2026-08-03	N/A
genome-research	COLD SPRING HARBOR LAB PRESS	1088-9051	1549-5469	6.3	BIOCHEMISTRY & MOLECULAR BIOLOGY	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/genome-research	2026-08-03	N/A
genome-research	COLD SPRING HARBOR LAB PRESS	1088-9051	1549-5469	6.3	BIOTECHNOLOGY & APPLIED MICROBIOLOGY	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/genome-research	2026-08-03	N/A
genome-research	COLD SPRING HARBOR LAB PRESS	1088-9051	1549-5469	6.3	GENETICS & HEREDITY	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/genome-research	2026-08-03	N/A
nucleic-acids-research	OXFORD UNIV PRESS	0305-1048	1362-4962	15.0	BIOCHEMISTRY & MOLECULAR BIOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
bioinformatics	OXFORD UNIV PRESS	1367-4803	1367-4811	5.5	BIOCHEMICAL RESEARCH METHODS	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/bioinformatics	2026-08-03	N/A
bioinformatics	OXFORD UNIV PRESS	1367-4803	1367-4811	5.5	BIOTECHNOLOGY & APPLIED MICROBIOLOGY	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/bioinformatics	2026-08-03	N/A
bioinformatics	OXFORD UNIV PRESS	1367-4803	1367-4811	5.5	MATHEMATICAL & COMPUTATIONAL BIOLOGY	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/bioinformatics	2026-08-03	N/A
plos-biology	PUBLIC LIBRARY SCIENCE	1544-9173	1545-7885	6.9	BIOCHEMISTRY & MOLECULAR BIOLOGY	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/plos-biology	2026-08-03	N/A
plos-biology	PUBLIC LIBRARY SCIENCE	1544-9173	1545-7885	6.9	BIOLOGY	SCIE	Q1	secondary_specialist_jcr_index	Journal Metrics (LabCat AI), 2026 release	https://www.journalmetrics.org/journal/plos-biology	2026-08-03	N/A
blood	ELSEVIER	0006-4971	1528-0020	23.9	HEMATOLOGY	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
circulation	LIPPINCOTT WILLIAMS & WILKINS	0009-7322	1524-4539	41.3	CARDIAC & CARDIOVASCULAR SYSTEMS	SCIE	Q1	secondary_institutional_jcr_repost	忻州师范学院科研部公开转载：2026年度JCR期刊名单-前600名.xlsx	https://keyan.xztu.edu.cn/info/1024/3283.htm	2026-08-03	70a1e9a33182cd524eb50c28be7862e11ad28b76a5aefa64d05cd4769eef2d81
